Id,WorkoutId,HorseId,WorkoutTypeId,Distance,WorkoutDistanceTypeId,Minutes,Seconds,Fifths,Comment,CreatedAt
130509,913,20201579,2,4.0,,,49.0,,RIDDEN,2023-03-19 06:22:26
130510,913,20192599,2,3.0,,,35.0,,RIDDEN,2023-03-19 06:23:01
130511,913,20202798,2,3.0,,,36.0,3.0,RIDDEN,2023-03-19 06:23:31
130512,913,20160379,24,0.0,,,,,,2023-03-19 06:23:46
130513,913,20191254,24,0.0,,,,,,2023-03-19 06:24:08
130514,913,20191956,24,0.0,,,,,,2023-03-19 06:24:21
130515,913,20161674,2,5.5,,1.0,10.0,3.0,LAST 5F 1040,2023-03-19 06:25:10
130516,913,20201468,24,0.0,,,,,,2023-03-19 06:25:41
130517,913,20191436,14,0.0,,,,,,2023-03-19 16:21:42
130518,913,20170695,24,0.0,,,,,,2023-03-19 16:21:55
130519,913,20203088,25,0.0,,,,,,2023-03-19 16:22:14
130520,913,20192115,24,0.0,,,,,,2023-03-19 16:22:30
130521,913,20181438,14,0.0,,,,,,2023-03-19 16:23:09
130522,913,20171798,24,0.0,,,,,,2023-03-19 16:23:25
130523,913,20192433,24,0.0,,,,,,2023-03-19 16:23:44
130524,913,20202687,24,0.0,,,,,,2023-03-19 16:24:10
130525,913,20201599,24,0.0,,,,,,2023-03-19 16:24:28
130526,913,20191421,25,0.0,,,,,,2023-03-19 16:24:46
130527,913,20191456,11,0.0,,,,,,2023-03-19 16:25:11
130528,913,20191401,24,0.0,,,,,,2023-03-19 16:25:25
130529,913,20201620,24,0.0,,,,,,2023-03-19 16:25:39
130530,913,20202889,25,0.0,,,,,,2023-03-19 16:25:56
130531,913,20192084,24,0.0,,,,,,2023-03-19 16:26:14
130532,913,20202985,3,6.0,,1.0,25.0,3.0,,2023-03-19 16:26:44
130533,913,20201640,24,0.0,,,,,,2023-03-19 16:27:12
130534,913,20191007,24,0.0,,,,,,2023-03-19 16:27:26
130535,913,20192746,4,0.0,,,,,,2023-03-19 16:27:41
130536,913,20190080,22,0.0,,,,,,2023-03-19 16:28:03
130537,913,20202263,24,0.0,,,,,,2023-03-19 16:28:17
130538,913,20202405,17,6.0,,1.0,27.0,,,2023-03-19 16:29:06
130539,913,20203144,1,0.0,1.0,,,,,2023-03-19 16:29:29
130540,913,20170453,4,0.0,,,,,,2023-03-19 16:30:56
130541,913,20170135,24,0.0,,,,,,2023-03-19 16:31:11
130542,913,20200305,24,0.0,,,,,,2023-03-19 16:31:25
130543,913,20190353,2,3.0,,,36.0,3.0,RIDDEN,2023-03-19 16:31:54
130544,913,20181812,24,0.0,,,,,,2023-03-19 16:32:17
130545,913,20200754,24,0.0,,,,,,2023-03-19 16:33:11
130546,913,20160415,2,4.0,,,50.0,3.0,RIDDEN WITH TEQUILA FLIGHT,2023-03-19 16:35:47
130547,913,20200249,2,4.0,,,50.0,3.0,RIDDEN WITH HECANDANCE,2023-03-19 16:36:41
130548,913,20190419,2,7.0,,1.0,36.0,2.0,LAST 6F 1210 WITH BURLAP,2023-03-19 16:37:45
130549,913,20201751,2,7.0,,1.0,36.0,0.0,LAST 6F 1210 WITH SLAMMER,2023-03-19 16:38:38
130550,913,20192726,1,0.0,1.0,,,,,2023-03-19 16:40:01
130551,913,20191916,14,0.0,,,,,,2023-03-19 16:40:20
130552,913,20190939,24,0.0,,,,,,2023-03-19 16:40:33
130553,914,20171894,24,0.0,,,,,,2023-03-20 14:30:44
130554,914,20180875,14,0.0,,,,,,2023-03-20 14:31:02
130555,914,20190686,4,0.0,,,,,,2023-03-20 14:31:16
130556,914,20192175,14,0.0,,,,,,2023-03-20 14:31:33
130557,914,20193076,24,0.0,,,,,,2023-03-20 14:31:45
130558,914,20182051,22,0.0,,,,,,2023-03-20 14:31:57
130559,914,20192675,14,0.0,,,,,,2023-03-20 14:32:11
130560,914,20161947,14,0.0,,,,,,2023-03-20 14:32:35
130561,914,20134171,25,0.0,,,,,,2023-03-20 14:32:45
130562,914,20181261,14,0.0,,,,,,2023-03-20 14:32:59
130563,914,20201140,14,0.0,,,,,,2023-03-20 14:33:14
130564,914,20201731,14,0.0,,,,,,2023-03-20 14:34:59
130565,914,20170099,4,0.0,,,,,,2023-03-20 14:35:35
130566,914,20191956,2,4.0,,,47.0,2.0,RIDDEN,2023-03-20 14:36:07
130567,914,20201488,1,0.0,1.0,,,,,2023-03-20 14:36:30
130568,914,20180880,24,0.0,,,,,,2023-03-20 14:37:18
130569,914,20192600,24,0.0,,,,,,2023-03-20 14:37:34
130570,914,20190939,2,4.0,,,49.0,,RIDDEN,2023-03-20 14:38:07
130571,914,20192019,2,4.0,,,50.0,,RIDDEN,2023-03-20 14:38:46
130572,914,20200214,24,0.0,,,,,,2023-03-20 14:39:30
130573,914,20192640,17,7.0,,1.0,41.0,4.0,,2023-03-20 14:40:17
