Id,Name,CountryBredId,ColorId,IsEnabled,CreatedAt
19520015,BIRNAMWOOD,,1.0,1,2020-09-15 06:25:43
19520035,MOUNTAIN MUSIC,,,1,2020-09-15 06:25:43
19520055,NASHUA,,8.0,1,2020-09-15 06:25:43
19520075,PAPPA FOURWAY,,,1,2020-09-15 06:25:43
19520095,BUNNY'S BABE,,8.0,1,2020-09-15 06:25:43
19520111,HELIO GUN,,1.0,1,2020-09-15 06:25:43
19520131,APOLLO,,8.0,1,2020-09-15 06:25:43
19520191,NAHAR,,,1,2020-09-15 06:25:43
19520217,TRAFFIC JUDGE,,1.0,1,2020-09-15 06:25:43
19520237,THINKING CAP,,,1,2020-09-15 06:25:43
19520611,BEETHOVEN,,,1,2020-09-15 06:25:43
19520893,OUR BABU,,1.0,1,2020-09-15 06:25:43
19520919,PANASLIPPER,,8.0,1,2020-09-15 06:25:43
19520958,PARADOR,,1.0,1,2020-09-15 06:25:43
19520979,KLAIRON,,,1,2020-09-15 06:25:43
19521512,DEMOCRACTIC,,,1,2020-09-15 06:25:43
19521618,TIPOQUILL,,1.0,1,2020-09-15 06:25:43
19521976,WAR AND PEACE,,1.0,1,2020-09-15 06:25:43
19522058,ROMAN PATROL,,,1,2020-09-15 06:25:43
19522098,HILLARY,,,1,2020-09-15 06:25:43
19523016,MUNCHAUSEN,,,1,2020-09-15 06:25:43
19523036,ROYAL PALM,,1.0,1,2020-09-15 06:25:43
19523056,ROYAL NOTE,,,1,2020-09-15 06:25:43
19523076,NIMBLEFOOT,,8.0,1,2020-09-15 06:25:43
19523096,METIER,,1.0,1,2020-09-15 06:25:43
19523112,SAILOR,,,1,2020-09-15 06:25:43
19523132,RIBOT,,1.0,1,2020-09-15 06:25:43
19523152,COUNSEL,,1.0,1,2020-09-15 06:25:43
19523172,SWAPS,,,1,2020-09-15 06:25:43
19523198,POACHING,,,1,2020-09-15 06:25:43
19530033,COURT FEATHERS,,,1,2020-09-15 06:25:43
19530053,POLIC,,1.0,1,2020-09-15 06:25:43
19530073,TRICO,,1.0,1,2020-09-15 06:25:43
19530093,FRENCH BIEGE,,,1,2020-09-15 06:25:43
19530119,PAPER MONEY,,1.0,1,2020-09-15 06:25:43
19530139,MILESIAN,,,1,2020-09-15 06:25:43
19530159,BIG CARNIVAL,,8.0,1,2020-09-15 06:25:43
19530179,COUNT OF HONOR,,,1,2020-09-15 06:25:43
19530199,TAPIOCA,,,1,2020-09-15 06:25:43
19530215,NANTALLAH,,1.0,1,2020-09-15 06:25:43
19530276,WING COMMANDER,,8.0,1,2020-09-15 06:25:43
19530716,MILLIONAIRE,,,1,2020-09-15 06:25:43
19530735,SPORTSMASTER,,,1,2020-09-15 06:25:43
19530755,GRATITUDE,,9.0,1,2020-09-15 06:25:43
19530775,TANERKO,,,1,2020-09-15 06:25:43
19530891,GILLES DE RETZ,,,1,2020-09-15 06:25:43
19530937,DECATHLON,,,1,2020-09-15 06:25:43
19530977,EPIGRAM,,,1,2020-09-15 06:25:43
19531292,CASH AND COURAGE,,,1,2020-09-15 06:25:43
19531934,POLLY'S JET,,,1,2020-09-15 06:25:43
19531974,ATLAS,,8.0,1,2020-09-15 06:25:43
19533014,GUN SHOT,,8.0,1,2020-09-15 06:25:43
19533034,NICALTINK,,,1,2020-09-15 06:25:43
19533054,RUMESNIL,,8.0,1,2020-09-15 06:25:43
19533074,MOTOR LINE,,,1,2020-09-15 06:25:43
19533094,NEEDLES,,,1,2020-09-15 06:25:43
19533110,NALUR,,,1,2020-09-15 06:25:43
19533130,PRINCE JOHN,,1.0,1,2020-09-15 06:25:43
19533150,VIGO,,9.0,1,2020-09-15 06:25:43
19533170,GREEK SYMPHONY,,,1,2020-09-15 06:25:43
19540031,NEARCTIC,,1.0,1,2020-09-15 06:25:43
19540032,BARBIZON,,1.0,1,2020-09-15 06:25:43
19540051,TULSAN,,1.0,1,2020-09-15 06:25:43
19540071,CARDINAL SIN,,8.0,1,2020-09-15 06:25:43
19540091,ASSEMBLYMAN,,,1,2020-09-15 06:25:43
19540117,GALLANT MAN,,1.0,1,2020-09-15 06:25:43
19540137,ORSINI,,,1,2020-09-15 06:25:43
19540399,NE'ER-DO-WELL,,,1,2020-09-15 06:25:43
19540511,LAKOBAR,,,1,2020-09-15 06:25:43
19540551,BOLD RULER,,,1,2020-09-15 06:25:43
19540713,RED GOD,,8.0,1,2020-09-15 06:25:43
19540733,QUORUM,,,1,2020-09-15 06:25:43
19540753,ETONIAN,,1.0,1,2020-09-15 06:25:43
19540773,TOM O'SHANTER,,,1,2020-09-15 06:25:43
19540793,PROMISED LAND,,,1,2020-09-15 06:25:43
19540819,ROUND TABLE,,,1,2020-09-15 06:25:43
19540859,EUDAEMON,,8.0,1,2020-09-15 06:25:43
19540899,FEDERAL HILL,,,1,2020-09-15 06:25:43
19540935,MOURNE,,,1,2020-09-15 06:25:43
19540975,MINCE PIE,,,1,2020-09-15 06:25:43
19541399,DODGER,,,1,2020-09-15 06:25:43
19541518,SEANEEN,,,1,2020-09-15 06:25:43
19541531,VERTEX,,1.0,1,2020-09-15 06:25:43
19541654,RED GOLD,,,1,2020-09-15 06:25:43
19541677,WAYNE,,,1,2020-09-15 06:25:43
19541972,BALLYMOSS,,8.0,1,2020-09-15 06:25:43
19542270,COHOES,,,1,2020-09-15 06:25:43
19543012,BALLYPRECIOUS,,1.0,1,2020-09-15 06:25:43
19543032,TAM O'SHANTER,,,1,2020-09-15 06:25:43
19543052,HIGH ROAD,,,1,2020-09-15 06:25:43
19543072,MON MANOIR,,,1,2020-09-15 06:25:43
19543092,SEE SAW,,,1,2020-09-15 06:25:43
19543118,DOUTELLE,,8.0,1,2020-09-15 06:25:43
19543138,BETTER BEE,,,1,2020-09-15 06:25:43
19543158,PRINCE KHALED,,,1,2020-09-15 06:25:43
19543178,GATE SMASHER,,,1,2020-09-15 06:25:43
19543198,POACHING,,,1,2020-09-15 06:25:43
19543214,KING HAIRAN,,,1,2020-09-15 06:25:43
19543234,PRIMERA,,,1,2020-09-15 06:25:43
19543254,NASHVILLE,,,1,2020-09-15 06:25:43
19543274,POCKET RULER,,,1,2020-09-15 06:25:43
19550019,ARIEL,,1.0,1,2020-09-15 06:25:43
19550039,WHAT'S AHEAD,,,1,2020-09-15 06:25:43
19550059,CABINTEELY,,8.0,1,2020-09-15 06:25:43
19550079,HARD TACK,,1.0,1,2020-09-15 06:25:43
19550099,TIEPOLO II,,1.0,1,2020-09-15 06:25:43
19550115,STUNNING,,8.0,1,2020-09-15 06:25:43
19550135,SNOW CAT,,,1,2020-09-15 06:25:43
19550175,TIM TAM,,,1,2020-09-15 06:25:43
19550433,WAR BRACLET,,,1,2020-09-15 06:25:43
19550600,GLENGARY,,,1,2020-09-15 06:25:43
19550675,KELLY,,,1,2020-09-15 06:25:43
19550817,JESTER,,1.0,1,2020-09-15 06:25:43
19550857,THARMALL,,,1,2020-09-15 06:25:43
19550897,WILL SOMERS,,,1,2020-09-15 06:25:43
19550933,NEPTUNE,,,1,2020-09-15 06:25:43
19550973,SAN PEDRO,,,1,2020-09-15 06:25:43
19551571,RISE 'N SHINE,,8.0,1,2020-09-15 06:25:43
19551591,MUSIC MAN FOX,,,1,2020-09-15 06:25:43
19551970,ROYAL FARMER,,,1,2020-09-15 06:25:43
19553010,HARD RIDDEN,,8.0,1,2020-09-15 06:25:43
19553030,CLANDESTINE,,,1,2020-09-15 06:25:43
19553050,PALL MALL,,8.0,1,2020-09-15 06:25:43
19553070,BLUE NILE,,8.0,1,2020-09-15 06:25:43
19553090,CAVAN,,,1,2020-09-15 06:25:43
19553116,MISTY FLIGHT,,8.0,1,2020-09-15 06:25:43
19553136,ELEGANTE,,,1,2020-09-15 06:25:43
19560017,SETAY,,,1,2020-09-15 06:25:43
19560057,BLEEP BLEEP,,9.0,1,2020-09-15 06:25:43
19560077,HARVEST SINGING,,1.0,1,2020-09-15 06:25:43
19560097,GOLDEN VISION,,8.0,1,2020-09-15 06:25:43
19560113,INDIGENOUS,,8.0,1,2020-09-15 06:25:43
19560133,WINDSOR RULER,,,1,2020-09-15 06:25:43
19560153,ROCKY ROYALE,,1.0,1,2020-09-15 06:25:43
19560173,ON-AND-ON,,1.0,1,2020-09-15 06:25:43
